DFS Time (s),A* Time (s),UCS Time (s),IDS Time (s)
0.0001971721649169922,0.00021409988403320312,0.00012111663818359375,0.00047469139099121094
0.00017213821411132812,0.00020003318786621094,0.00019097328186035156,0.0010149478912353516
0.00023126602172851562,0.0002071857452392578,0.00011897087097167969,0.0011019706726074219
8.225440979003906e-05,0.0003859996795654297,0.0003647804260253906,0.00025916099548339844
9.703636169433594e-05,9.918212890625e-05,0.0001468658447265625,0.00028324127197265625
0.00011897087097167969,0.00021028518676757812,0.00017571449279785156,0.0007951259613037109
0.00028014183044433594,0.00014901161193847656,0.00012111663818359375,0.0004279613494873047
0.0001270771026611328,0.00015306472778320312,0.00013518333435058594,0.0006132125854492188
0.00013709068298339844,0.0001437664031982422,0.00010585784912109375,0.0004017353057861328
0.00020933151245117188,0.00010132789611816406,7.915496826171875e-05,0.00018835067749023438
0.00019407272338867188,0.00017690658569335938,0.00014734268188476562,0.0008120536804199219
0.00010704994201660156,0.00011801719665527344,9.226799011230469e-05,0.00019311904907226562
0.0001049041748046875,0.0001480579376220703,0.0001201629638671875,0.0005168914794921875
8.702278137207031e-05,0.00011205673217773438,9.012222290039062e-05,0.00034928321838378906
0.00010776519775390625,9.179115295410156e-05,8.0108642578125e-05,0.0002288818359375
0.00010704994201660156,0.00010204315185546875,8.392333984375e-05,0.0002410411834716797
9.083747863769531e-05,9.322166442871094e-05,8.20159912109375e-05,0.00032806396484375
9.393692016601562e-05,0.00017881393432617188,0.00013375282287597656,0.0008602142333984375
7.724761962890625e-05,8.702278137207031e-05,7.605552673339844e-05,0.00045490264892578125
7.987022399902344e-05,0.0001087188720703125,8.869171142578125e-05,0.00032806396484375
0.0001010894775390625,0.00018215179443359375,0.00014281272888183594,0.0009260177612304688
0.00010895729064941406,0.00015687942504882812,0.0001380443572998047,0.0007941722869873047
8.296966552734375e-05,8.177757263183594e-05,0.00010967254638671875,0.00016307830810546875
9.608268737792969e-05,0.00015687942504882812,0.00011396408081054688,0.0006792545318603516
8.7738037109375e-05,0.0001418590545654297,0.00011181831359863281,0.0007979869842529297
4.982948303222656e-05,7.557868957519531e-05,6.198883056640625e-05,0.00030422210693359375
7.987022399902344e-05,6.985664367675781e-05,6.985664367675781e-05,0.00016379356384277344
5.1021575927734375e-05,6.508827209472656e-05,5.507469177246094e-05,0.0001690387725830078
8.416175842285156e-05,0.00011587142944335938,9.393692016601562e-05,0.0004520416259765625
0.00010991096496582031,7.581710815429688e-05,6.079673767089844e-05,0.0002238750457763672
7.224082946777344e-05,0.00010991096496582031,9.012222290039062e-05,0.0006630420684814453
4.601478576660156e-05,5.888938903808594e-05,4.9114227294921875e-05,0.00015211105346679688
3.1948089599609375e-05,4.506111145019531e-05,3.600120544433594e-05,9.298324584960938e-05
5.888938903808594e-05,7.414817810058594e-05,6.914138793945312e-05,0.0002810955047607422
5.698204040527344e-05,8.821487426757812e-05,7.104873657226562e-05,0.0003859996795654297
7.796287536621094e-05,0.00011897087097167969,0.00010013580322265625,0.0004627704620361328
6.914138793945312e-05,9.989738464355469e-05,8.225440979003906e-05,0.00040793418884277344
5.3882598876953125e-05,5.3882598876953125e-05,4.506111145019531e-05,0.00011086463928222656
5.602836608886719e-05,8.082389831542969e-05,6.699562072753906e-05,0.0002951622009277344
0.00014209747314453125,0.00012111663818359375,7.200241088867188e-05,0.00023603439331054688
8.106231689453125e-05,0.0001049041748046875,8.106231689453125e-05,0.00046896934509277344
4.982948303222656e-05,6.771087646484375e-05,5.817413330078125e-05,0.00017189979553222656
0.0001010894775390625,0.0001049041748046875,8.177757263183594e-05,0.0003218650817871094
6.127357482910156e-05,8.082389831542969e-05,7.081031799316406e-05,0.00023603439331054688
6.580352783203125e-05,8.702278137207031e-05,0.00020694732666015625,0.0003230571746826172
7.510185241699219e-05,8.869171142578125e-05,7.987022399902344e-05,0.000682830810546875
8.225440979003906e-05,9.012222290039062e-05,7.700920104980469e-05,0.0002582073211669922
8.797645568847656e-05,0.00013303756713867188,0.0001010894775390625,0.0006809234619140625
8.893013000488281e-05,0.0002779960632324219,0.0001499652862548828,0.0006139278411865234
0.0001010894775390625,6.29425048828125e-05,5.1975250244140625e-05,0.00011801719665527344
5.3882598876953125e-05,8.082389831542969e-05,6.723403930664062e-05,0.0002980232238769531
0.00016117095947265625,0.00013208389282226562,6.29425048828125e-05,0.00016808509826660156
5.507469177246094e-05,8.273124694824219e-05,6.794929504394531e-05,0.0003058910369873047
8.392333984375e-05,0.00010204315185546875,8.487701416015625e-05,0.00034499168395996094
5.7697296142578125e-05,7.891654968261719e-05,6.699562072753906e-05,0.0002510547637939453
6.699562072753906e-05,9.393692016601562e-05,7.700920104980469e-05,0.0003829002380371094
6.508827209472656e-05,0.00010323524475097656,8.702278137207031e-05,0.00043392181396484375
6.914138793945312e-05,8.106231689453125e-05,6.413459777832031e-05,0.00023508071899414062
4.673004150390625e-05,5.6743621826171875e-05,5.3882598876953125e-05,0.00012183189392089844
5.698204040527344e-05,8.487701416015625e-05,6.604194641113281e-05,0.0002999305725097656
7.390975952148438e-05,0.0001049041748046875,9.012222290039062e-05,0.0004858970642089844
6.580352783203125e-05,0.00010800361633300781,9.799003601074219e-05,0.0005271434783935547
8.606910705566406e-05,0.00012421607971191406,0.000102996826171875,0.0005919933319091797
3.910064697265625e-05,5.1975250244140625e-05,3.886222839355469e-05,0.00010395050048828125
8.392333984375e-05,9.179115295410156e-05,8.511543273925781e-05,0.0002818107604980469
7.700920104980469e-05,0.0001010894775390625,0.0001227855682373047,0.000331878662109375
7.081031799316406e-05,7.724761962890625e-05,5.984306335449219e-05,0.000225067138671875
6.771087646484375e-05,7.390975952148438e-05,5.793571472167969e-05,0.00020623207092285156
5.1975250244140625e-05,6.604194641113281e-05,4.887580871582031e-05,0.00019311904907226562
5.1021575927734375e-05,9.322166442871094e-05,0.00011682510375976562,0.00029587745666503906
4.506111145019531e-05,5.2928924560546875e-05,4.410743713378906e-05,0.00013399124145507812
3.981590270996094e-05,5.602836608886719e-05,4.38690185546875e-05,0.0001380443572998047
3.504753112792969e-05,4.792213439941406e-05,4.291534423828125e-05,0.0001277923583984375
5.817413330078125e-05,0.00011420249938964844,8.821487426757812e-05,0.0005540847778320312
9.012222290039062e-05,0.00011014938354492188,0.00010395050048828125,0.00028014183044433594
4.7206878662109375e-05,5.602836608886719e-05,4.482269287109375e-05,0.0001342296600341797
5.91278076171875e-05,6.890296936035156e-05,6.175041198730469e-05,0.00026106834411621094
0.00010395050048828125,0.00012636184692382812,6.198883056640625e-05,0.00029206275939941406
4.100799560546875e-05,4.100799560546875e-05,3.1948089599609375e-05,8.0108642578125e-05
0.00016117095947265625,0.00015401840209960938,7.677078247070312e-05,0.00020694732666015625
0.0002689361572265625,0.0001418590545654297,0.00013327598571777344,0.00048613548278808594
4.8160552978515625e-05,6.914138793945312e-05,5.91278076171875e-05,0.0002789497375488281
5.507469177246094e-05,8.511543273925781e-05,7.295608520507812e-05,0.0004940032958984375
5.7220458984375e-05,7.796287536621094e-05,6.604194641113281e-05,0.0003581047058105469
3.600120544433594e-05,4.696846008300781e-05,4.100799560546875e-05,0.00012493133544921875
3.528594970703125e-05,0.00010275840759277344,0.00011491775512695312,0.0002009868621826172
5.888938903808594e-05,7.390975952148438e-05,6.389617919921875e-05,0.0003437995910644531
0.0001678466796875,8.606910705566406e-05,0.00013113021850585938,0.0003046989440917969
5.1021575927734375e-05,6.985664367675781e-05,6.29425048828125e-05,0.0002727508544921875
5.1975250244140625e-05,5.793571472167969e-05,4.792213439941406e-05,0.00021505355834960938
